"ID","Priority","Area","Milestone","Title","Description","Acceptance","Regression","Labels","Status","Branch","PR","TestName"
"WATCH-01","P1","Watchlist","P1 Core Marketplace Flows","Fix watchlist toggle and empty state","Watch and unwatch should be one click with visible state, toast, and useful empty page.","No multiple-click watchlist behavior remains.","Watchlist smoke test toggles listing and checks empty state.","P1;watchlist;ux","Backlog","","",""
"MESSAGE-01","P0","Messaging","P0 Transaction Safety","Block off-platform contact details server-side","Messages containing prohibited off-platform contact details should be blocked or redacted server-side and logged.","Client warning is not the only protection.","API test attempts phone or email and expects blocked response.","P0;messages;safety","Backlog","","",""
"MESSAGE-02","P1","Messaging","P1 Core Marketplace Flows","Fix message sending state reliability","Sending state must resolve to sent, failed, or retry. No indefinite spinner.","Message send cannot hang silently.","Message smoke test checks success and failure states.","P1;messages;ux","Backlog","","",""
"OFFER-01","P0","Offers","P0 Transaction Safety","Add offer confirmation and instant UI update","Offer submit must await API response, show confirmation, and update visible offer state.","User sees clear Offer sent state.","Offer smoke test submits once and checks confirmation.","P0;offers;ux","Backlog","","",""
"OFFER-02","P0","Idempotency","P0 Transaction Safety","Prevent duplicate critical actions","Signup, login, listing creation, message send, offer submit, accept offer, and reports need duplicate protection.","Double-click or refresh does not create duplicate critical records.","API test sends duplicate idempotency key and expects safe response.","P0;safety;api","Backlog","","",""
"ORDER-01","P1","Orders","P1 Core Marketplace Flows","Make order feedback payment next actions clear","Every order state must show one obvious next action or explanation.","No dead-end Pay now or Leave feedback flows.","Order smoke test checks key order states.","P1;orders;feedback","Backlog","","",""
"ADMIN-01","P1","Admin","P1 Admin and Moderation","Build admin user moderation controls","Admin user detail page needs correct user mapping, strike, block, unblock, reset, and audit log.","Clicked user opens correct admin detail page.","Admin test opens two users and verifies distinct IDs.","P1;admin;moderation","Backlog","","",""
"ADMIN-02","P1","Admin","P1 Admin and Moderation","Build admin listing moderation controls","Admin listing detail should support suspend, delete, restore, reason, and audit log.","Admin can moderate listing without only opening public page.","Admin test verifies moderation action creates audit entry.","P1;admin;listings","Backlog","","",""
"ADMIN-03","P2","Admin UX","P2 Premium UX","Replace admin native dialogs","Admin confirm and prompt flows should use branded modal with clear consequences.","No browser alert confirm prompt remains in admin flows.","Static check rejects alert confirm prompt in admin files.","P2;admin;ux","Backlog","","",""
"UX-01","P1","Design System","P2 Premium UX","Standardize toast error modal components","Every success and failure should use consistent components, placement, copy, and next action.","No raw codes or silent failures in core flows.","Component test checks standard error and toast usage.","P1;ux;design-system","Backlog","","",""
"SEO-01","P1","SEO","P3 Growth and Marketplace Density","Add marketplace SEO structure","Add category, location, listing metadata, canonical URLs, sitemap coverage, and product structured data.","Important marketplace pages are indexable and have metadata.","Route test validates metadata on category and listing pages.","P1;seo;growth","Backlog","","",""
"PERF-01","P2","Performance","P2 Premium UX","Improve accessibility performance image quality","Improve tap targets, keyboard navigation, image loading, and layout stability.","Core pages meet defined accessibility and performance checks.","A11y and smoke checks cover public browse and listing pages.","P2;performance;accessibility","Backlog","","",""
"GROWTH-01","P1","Marketplace Supply","P3 Growth and Marketplace Density","Seed real marketplace liquidity","Add enough real listings, remove duplicates, improve categories and locations.","Marketplace no longer feels empty or duplicated.","Listing audit checks duplicate titles and minimum seeded listing count in staging.","P1;growth;listings","Backlog","","",""
